web-scraper-order,web-scraper-start-url,latest_video,latest_video-href,recommended_video,recommended_video-href
"1768103812-37","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","BREAKING NEWS: John Kennedy Details Example After Example Of Minnesota Fraud In Blistering Speech","https://www.youtube.com/watch?v=JL1fNIqqGV0"
"1768103812-38","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","Chinese Fighter Jet Flies TOO CLOSE to Australian Plane – BIG MISTAKE","https://www.youtube.com/watch?v=04uAiXkhLUg&pp=0gcJCU0KAYcqIYzv"
"1768103812-39","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","How did Vikings Manage Waste on Longships Without getting SICK?","https://www.youtube.com/watch?v=iedM4McT0zA"
"1768103812-40","https://www.youtube.com/user/FoxNewsChannel/videos","We'll REWARD fraud whistleblowers with CASH: Bessent","https://www.youtube.com/watch?v=l9fqodR_urA","California Governor in Panic as Walmart Shuts Down Hundreds of Stores | Elizabeth Davis","https://www.youtube.com/watch?v=OkShwczT9Rc"
"1768103823-41","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Greg Gutfeld: THIS has BROKEN Dems...","https://www.youtube.com/watch?v=K7YarNm7xtg"
"1768103823-42","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Bob Newhart’s German Impression Is Incredible | Carson Tonight Show","https://www.youtube.com/watch?v=AhPnpcbDcaM&pp=ugUHEgVlbi1VUw%3D%3D"
"1768103823-43","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","""Any ICE Agents In!?"" - Jimmy Might Have Found a Sleeper Agent?! | Jimmy Carr Crowd Work","https://www.youtube.com/watch?v=FfWSPg9HINw"
"1768103823-44","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Tim Walz Exposed For Faking Financial Records In State Audit","https://www.youtube.com/watch?v=Louj7N3dKSw&pp=ugUEEgJlbg%3D%3D"
"1768103823-45","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","'STUNNER': NYC exodus grows as Mamdani's polices take hold","https://www.youtube.com/watch?v=kD93vokCCos"
"1768103823-46","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Greg Gutfeld: Dems just keep giving him so much good material","https://www.youtube.com/watch?v=YBk7tusLnGI"
"1768103823-47","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","'Gutfeld!': Trump to make showers GREAT again","https://www.youtube.com/watch?v=ez9H8L3awq0"
"1768103823-48","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Megyn Kelly Breaks Down What the Minnesota ICE Shooting Videos REALLY Show and Reveals NEW Info","https://www.youtube.com/watch?v=kH4W1TyUeQg"
"1768103823-49","https://www.youtube.com/user/FoxNewsChannel/videos","Gutfeld: No wonder we stopped reproducing","https://www.youtube.com/watch?v=0-BjIiVLl5k","Gutfeld: This is a hell of a defense","https://www.youtube.com/watch?v=CYzYKtmu53k&pp=0gcJCU0KAYcqIYzv"
